Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Magnetic Field,Acceleration,Orientation,Image file,Image type,sunlight
1,2022-04-24 16:51:32.334207,-28.18078092437953,-19.13642307280746,27.1841,50.6881,1009.2869,"-2.731475830078125,-1.27488374710083,-3.0332093238830566","0.01634800061583519,-0.007075999863445759,-0.007319999858736992","302.675588333917,209.3703821579888,174.9109540017849",/home/pi/msl/weeagles/photo_001.jpg,day,Yes
2,2022-04-24 16:52:21.764885,-30.581066334553093,-16.58331086345548,27.3874,50.9823,1009.2913,"-8.071870803833008,-3.996786594390869,-9.82984447479248","0.01659199967980385,-0.006831999868154526,-0.006831999868154526","302.50051009492205,201.55675503052092,179.99560636713085",/home/pi/msl/weeagles/photo_002.jpg,day,Yes
3,2022-04-24 16:53:10.142119,-32.72617916440634,-14.1224302361226,27.2354,50.6881,1009.3413,"-10.762518882751465,-5.42315149307251,-13.286458015441895","0.017324000597000122,-0.00634399987757206,-0.008539999835193157","298.1891307662699,219.98972805309282,167.17453533269486",/home/pi/msl/weeagles/photo_003.jpg,day,Yes
4,2022-04-24 16:53:58.929906,-34.81060494480334,-11.534031877488403,27.5356,50.6544,1009.3203,"-11.847328186035156,-6.440615177154541,-15.614617347717285","0.017079999670386314,-0.0058559998869895935,-0.007319999858736992","296.07928533165295,208.5694195343997,176.87729716193985",/home/pi/msl/weeagles/photo_004.jpg,day,Yes
5,2022-04-24 16:54:47.746543,-36.84744608706526,-8.775484726302759,27.5004,50.6421,1009.3032,"-12.03276252746582,-6.931760787963867,-16.364459991455078","0.01634800061583519,-0.004391999915242195,-0.00634399987757206","295.6485940931595,216.16338777815997,173.661930968643",/home/pi/msl/weeagles/photo_005.jpg,day,Yes
6,2022-04-24 16:55:35.986850,-38.794053213441316,-5.877613656570241,27.434,50.5747,1009.3386,"-11.978717803955078,-7.504687786102295,-16.65272331237793","0.018055999651551247,-0.006831999868154526,-0.007075999863445759","293.7000572361707,221.33369071569788,164.24628297134865",/home/pi/msl/weeagles/photo_006.jpg,day,Yes
7,2022-04-24 16:56:24.187988,-40.639681679609645,-2.8345427978656246,27.7701,50.7095,1009.3606,"-11.67514419555664,-7.710786819458008,-16.86314582824707","0.01878799870610237,-0.007075999863445759,-0.004147999919950962","287.9337929727925,225.50999622332384,163.22335286011253",/home/pi/msl/weeagles/photo_007.jpg,day,Yes
8,2022-04-24 16:57:12.583889,-42.39662791611631,0.4024878588119119,27.3999,50.7892,1009.3813,"-11.570923805236816,-7.675771236419678,-16.975576400756836","0.015859998762607574,-0.004879999905824661,-0.008295999839901924","288.463754180683,227.2626500851058,158.86981760390307",/home/pi/msl/weeagles/photo_008.jpg,day,Yes
9,2022-04-24 16:58:00.754867,-44.033983106124374,3.8073637772165987,27.2991,50.4337,1009.3765,"-11.635634422302246,-7.820459365844727,-17.15965461730957","0.014883999712765217,-0.005367999896407127,-0.008051999844610691","286.7332574525686,210.9361347233225,175.4902633264287",/home/pi/msl/weeagles/photo_009.jpg,day,Yes
10,2022-04-24 16:58:49.131831,-45.55731709424073,7.424357169979476,27.6959,50.731,1009.4072,"-11.68443775177002,-8.106470108032227,-17.103910446166992","0.017324000597000122,-0.004879999905824661,-0.00951599981635809","282.5421714155787,204.93924229242964,180.46828642091808",/home/pi/msl/weeagles/photo_010.jpg,day,Yes
